age,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,Grade,Pass/Fail
18,2,2,0,4,3,4,1,1,3,6,17,0
17,1,2,0,5,3,3,1,1,3,4,16,0
15,1,2,3,4,3,2,2,3,3,10,25,0
15,1,3,0,3,2,2,1,1,5,2,44,1
16,1,2,0,4,3,2,1,2,5,4,26,0
16,1,2,0,5,4,2,1,2,5,10,45,1
16,1,2,0,4,4,4,1,1,3,0,35,1
17,2,2,0,4,1,4,1,1,1,6,17,0
15,1,2,0,4,2,2,1,1,1,0,53,1
15,1,2,0,5,5,1,1,1,5,0,44,1
15,1,2,0,3,3,3,1,2,2,0,27,0
15,3,3,0,5,2,2,1,1,4,4,34,1
15,1,1,0,4,3,3,1,3,5,2,42,1
15,2,2,0,5,4,3,1,2,3,2,31,1
15,1,3,0,4,5,2,1,1,3,0,46,1
16,1,1,0,4,4,4,1,2,2,4,42,1
16,1,3,0,3,2,3,1,2,2,6,41,1
16,3,2,0,5,3,2,1,1,4,4,28,0
17,1,1,3,5,5,5,2,4,5,16,16,0
16,1,1,0,3,1,3,1,3,5,4,28,0
15,1,2,0,4,4,1,1,1,1,0,42,1
15,1,1,0,5,4,2,1,1,5,0,42,1
16,1,2,0,4,5,1,1,3,5,2,46,1
16,2,2,0,5,4,4,2,4,5,0,38,1
15,1,3,0,4,3,2,1,1,5,2,27,0
16,1,1,2,1,2,2,1,3,5,14,23,0
15,1,1,0,4,2,2,1,2,5,2,35,1
15,1,1,0,2,2,4,2,4,1,4,46,1
16,1,2,0,5,3,3,1,1,5,4,33,1
16,1,2,0,4,4,5,5,5,5,16,33,1
15,1,2,0,5,4,2,3,4,5,0,32,1
15,2,2,0,4,3,1,1,1,5,0,50,1
15,1,2,0,4,5,2,1,1,5,0,49,1
15,1,2,0,5,3,2,1,1,2,0,30,0
16,1,1,0,5,4,3,1,1,5,0,41,1
15,2,1,0,3,5,1,1,1,5,0,21,0
15,1,3,0,5,4,3,1,1,4,2,49,1
16,2,3,0,2,4,3,1,1,5,7,46,1
15,1,3,0,4,3,2,1,1,5,2,35,1
15,1,1,0,4,3,1,1,1,2,8,40,1
16,2,2,1,3,3,3,1,2,3,25,28,0
15,1,1,0,5,4,3,2,4,5,8,36,1
15,1,2,0,4,3,3,1,1,5,2,55,1
15,1,1,0,5,4,1,1,1,1,0,27,0
16,2,2,1,4,3,3,2,2,5,14,29,0
15,1,2,0,5,2,2,1,1,5,8,22,0
16,1,2,0,2,3,5,1,4,3,12,34,1
16,1,4,0,4,2,2,1,1,2,4,58,1
15,1,2,0,4,3,3,2,2,5,2,44,1
15,1,2,1,4,4,4,1,1,3,2,21,0
16,3,2,0,4,3,3,2,3,4,2,38,1
15,1,2,0,4,3,3,1,1,5,2,37,1
15,2,1,1,5,5,5,3,4,5,6,32,1
15,1,1,0,3,3,4,2,3,5,0,29,0
15,1,1,0,5,3,4,4,4,1,6,36,1
16,1,2,0,5,3,4,1,1,2,8,27,0
15,1,2,0,4,3,2,1,1,1,0,44,1
15,1,2,0,3,2,2,1,1,5,4,44,1
15,1,2,0,4,3,2,1,1,5,2,28,0
16,1,2,0,4,2,3,1,1,5,2,47,1
16,1,2,0,2,4,4,2,3,4,6,32,1
16,4,1,0,5,5,5,5,5,5,6,29,0
16,1,2,0,4,4,3,1,1,1,4,27,0
16,1,3,0,3,4,4,2,4,4,2,28,0
15,1,2,0,4,4,4,2,4,2,0,30,0
16,3,2,0,5,4,3,1,2,1,2,46,1
15,1,4,0,1,3,3,5,5,3,4,38,1
16,1,4,0,4,3,3,1,2,5,4,20,0
15,2,2,0,4,1,3,1,3,4,2,25,0
15,2,4,0,4,4,2,2,3,3,12,48,1
16,2,4,0,4,3,2,1,1,5,0,43,1
15,1,4,0,3,3,3,1,1,3,0,30,0
15,1,2,2,3,3,4,2,4,5,2,19,0
16,1,1,0,5,3,2,2,2,5,2,38,1
16,1,2,0,4,3,3,2,4,5,54,34,1
15,1,2,0,4,3,3,2,3,5,6,28,0
15,2,4,0,3,4,3,1,1,1,8,32,1
16,1,4,0,5,2,3,1,3,3,0,33,1
17,2,1,3,4,5,1,1,1,3,2,26,0
16,1,2,0,2,4,3,1,2,3,12,15,0
15,1,1,0,3,2,2,1,3,3,2,34,1
15,1,3,0,5,3,2,1,2,5,4,32,1
15,1,2,0,4,4,4,1,1,5,10,19,0
15,2,2,0,5,3,3,1,3,4,4,45,1
15,1,2,0,4,3,2,2,3,4,2,29,0
15,2,2,2,4,4,4,2,3,5,6,24,0
16,1,2,0,4,3,4,1,2,2,4,21,0
15,1,3,0,5,3,3,1,3,1,4,41,1
16,2,2,1,4,4,2,1,1,3,12,31,1
16,1,2,0,4,1,3,3,5,5,18,21,0
16,1,3,0,4,3,3,1,3,4,0,22,0
15,1,1,0,4,5,5,1,3,1,4,51,1
16,1,2,0,3,3,3,2,3,2,4,19,0
16,2,2,0,5,3,3,1,1,1,0,31,1
15,1,4,0,4,3,4,1,1,4,6,38,1
15,2,4,1,3,1,2,1,1,1,2,27,0
16,2,1,0,3,3,3,1,1,4,2,41,1
16,1,2,0,4,3,5,1,1,5,2,27,0
16,1,1,0,5,3,4,1,2,1,6,39,1
